TagName,Address,DataType,Bytes,Bit
EC_Set_SP,DB1.DBD0,real,4,
pH_Set_SP,DB1.DBD4,real,4,
EC_Actual,DB1.DBD8,real,4,
pH_Actual,DB1.DBD12,real,4,
SAC_Enable,DB1.DBX16.0,bool,1,
Remote_Heartbeat,DB1.DBW18,int,2,
Remote_Comms_OK,DB1.DBX20.0,bool,1,
Watchdog_Timer,DB1.DBW22,int,2,
q_f_cmd,DB1.DBD24,real,4,
q_a_cmd,DB1.DBD28,real,4,
Valve_F_Actual,DB1.DBD32,real,4,
Valve_A_Actual,DB1.DBD36,real,4,
AQ_Valve_F_Raw,DB1.DBW40,int,2,
AQ_Valve_A_Raw,DB1.DBW42,int,2,
System_Alarm_Light,DB1.DBX44.0,bool,1,
q_f_raw,DB1.DBD50,real,4,
q_a_raw,DB1.DBD54,real,4,
q_f_limited,DB1.DBX58.0,bool,1,0
q_a_limited,DB1.DBX58.1,bool,1,1
Growth_Stage,DB1.DBW106,int,2,
Stage_EC_SP,DB1.DBD108,real,4,
Stage_pH_SP,DB1.DBD112,real,4,
Active_EC_SP,DB1.DBD116,real,4,
Active_pH_SP,DB1.DBD120,real,4,
Setpoint_Protection_Active,DB1.DBX124.0,bool,1,0
Stage_Auto_SP_Enable,DB1.DBX124.1,bool,1,1
Kp_EC_Set,DB1.DBD126,real,4,
Ki_EC_Set,DB1.DBD130,real,4,
Kd_EC_Set,DB1.DBD134,real,4,
Kp_pH_Set,DB1.DBD138,real,4,
Ki_pH_Set,DB1.DBD142,real,4,
Kd_pH_Set,DB1.DBD146,real,4,
N_Enable,DB1.DBD150,real,4,
N_Ratio,DB1.DBD154,real,4,
N_Target,DB1.DBD158,real,4,
N_Actual,DB1.DBD162,real,4,
Kp_N_Set,DB1.DBD166,real,4,
Ki_N_Set,DB1.DBD170,real,4,
Kd_N_Set,DB1.DBD174,real,4,
N_Max,DB1.DBD178,real,4,
q_n_cmd,DB1.DBD182,real,4,
AQ_Valve_N_Raw,DB1.DBW186,int,2,
P_Enable,DB1.DBD190,real,4,
P_Ratio,DB1.DBD194,real,4,
P_Target,DB1.DBD198,real,4,
P_Actual,DB1.DBD202,real,4,
Kp_P_Set,DB1.DBD206,real,4,
Ki_P_Set,DB1.DBD210,real,4,
Kd_P_Set,DB1.DBD214,real,4,
P_Max,DB1.DBD218,real,4,
q_p_cmd,DB1.DBD222,real,4,
AQ_Valve_P_Raw,DB1.DBW226,int,2,
K_Enable,DB1.DBD230,real,4,
K_Ratio,DB1.DBD234,real,4,
K_Target,DB1.DBD238,real,4,
K_Actual,DB1.DBD242,real,4,
Kp_K_Set,DB1.DBD246,real,4,
Ki_K_Set,DB1.DBD250,real,4,
Kd_K_Set,DB1.DBD254,real,4,
K_Max,DB1.DBD258,real,4,
q_k_cmd,DB1.DBD262,real,4,
AQ_Valve_K_Raw,DB1.DBW266,int,2,
EC_Trim_Band,DB1.DBD270,real,4,
pH_Trim_Band,DB1.DBD274,real,4,
Manual_Mode,DB1.DBX278.0,bool,1,0
Auto_Mode,DB1.DBX278.1,bool,1,1
Emergency_Stop,DB1.DBX278.2,bool,1,2
Manual_Active,DB1.DBX278.3,bool,1,3
Auto_Active,DB1.DBX278.4,bool,1,4
Manual_q_f_Set,DB1.DBD280,real,4,
Manual_q_a_Set,DB1.DBD284,real,4,
Manual_q_n_Set,DB1.DBD288,real,4,
Manual_q_p_Set,DB1.DBD292,real,4,
Manual_q_k_Set,DB1.DBD296,real,4,
Comm_Normal,DB1.DBX300.0,bool,1,0
Manual_PumpValve_Enable,DB1.DBX300.1,bool,1,1
Manual_q_f_Selected,DB1.DBD304,real,4,
Manual_q_a_Selected,DB1.DBD308,real,4,
Kp_EC_Effective,DB1.DBD312,real,4,
Ki_EC_Effective,DB1.DBD316,real,4,
Kd_EC_Effective,DB1.DBD320,real,4,
Kp_pH_Effective,DB1.DBD324,real,4,
Ki_pH_Effective,DB1.DBD328,real,4,
Kd_pH_Effective,DB1.DBD332,real,4,
EC_PID_Error,DB1.DBD336,real,4,
pH_PID_Error,DB1.DBD340,real,4,
EC_PID_Integral,DB1.DBD344,real,4,
pH_PID_Integral,DB1.DBD348,real,4,
q_f_Feedforward,DB1.DBD352,real,4,
q_f_PID_Correction,DB1.DBD356,real,4,
q_a_Feedforward,DB1.DBD360,real,4,
q_a_PID_Correction,DB1.DBD364,real,4,
N_Error,DB1.DBD368,real,4,
P_Error,DB1.DBD372,real,4,
K_Error,DB1.DBD376,real,4,
N_PID_Correction,DB1.DBD380,real,4,
P_PID_Correction,DB1.DBD384,real,4,
K_PID_Correction,DB1.DBD388,real,4,
NPK_Optimization_Weight,DB1.DBD392,real,4,
