time_s,irrigation_mm_h,ec_drip,n_drip,p_drip,k_drip
26400.000000,0.000000000,0.000000000,0.006734702,0.005956880,0.007871579
52800.000000,0.000000000,0.793686609,0.006685432,0.005941014,0.007800799
79200.000000,0.000000000,0.799950202,0.006725676,0.005955349,0.007793163
105600.000000,0.000000000,0.799999632,0.006799252,0.005968210,0.007797768
132000.000000,0.000000000,0.800000022,0.006799823,0.005955987,0.007720015
158400.000000,0.000000000,0.800000026,0.006760600,0.005933488,0.007629541
184800.000000,0.000000000,0.800000026,0.006811718,0.005949755,0.007606095
211200.000000,0.000000000,0.800000026,0.006781466,0.005934684,0.007499323
237600.000000,0.000000000,0.800000026,0.006723325,0.005921935,0.007384852
264000.000000,0.000000000,0.800000026,0.006765440,0.005941169,0.007389591
290400.000000,0.000000000,0.800000026,0.006725763,0.005927421,0.007350474
316800.000000,0.000000000,0.800000026,0.006656105,0.005915792,0.007317702
343200.000000,0.000000000,0.800000026,0.006688331,0.005936604,0.007380836
369600.000000,0.000000000,0.800000026,0.006749086,0.005952071,0.007427243
396000.000000,0.000000000,0.800000026,0.006734494,0.005936642,0.007382016
422400.000000,0.000000000,0.800000026,0.006805740,0.005952099,0.007428112
448800.000000,0.000000000,0.800000026,0.006895848,0.005964902,0.007461995
475200.000000,0.000000000,0.800000026,0.006911800,0.005951437,0.007411129
501600.000000,0.000000000,0.800000026,0.006881563,0.005931785,0.007368516
528000.000000,0.000000000,0.800000026,0.006932774,0.005948489,0.007418188
554400.000000,0.000000000,0.800000026,0.006902794,0.005933613,0.007374430
580800.000000,0.000000000,0.800000026,0.006842108,0.005921030,0.007337772
607200.000000,0.000000000,0.800000026,0.006877158,0.005940496,0.007395588
633600.000000,0.000000000,0.800000026,0.006947347,0.005954963,0.007438088
660000.000000,0.000000000,0.800000026,0.006936282,0.005939089,0.007391102
686400.000000,0.000000000,0.800000026,0.007002504,0.005953918,0.007434789
712800.000000,0.000000000,0.800000026,0.007096363,0.005967231,0.007466903
739200.000000,0.000000000,0.800000026,0.007090293,0.005952974,0.007415241
765600.000000,0.000000000,0.800000026,0.007161044,0.005960831,0.007452534
792000.000000,0.000000000,0.800000026,0.007265528,0.005976432,0.007479948
818400.000000,0.000000000,0.800000026,0.007247412,0.005968338,0.007426169
844800.000000,0.000000000,0.800000026,0.007190618,0.005943584,0.007381116
871200.000000,0.000000000,0.800000026,0.007237064,0.005951512,0.007427450
897600.000000,0.000000000,0.800000026,0.007185854,0.005936169,0.007382189
924000.000000,0.000000000,0.800000026,0.007120090,0.005923192,0.007344272
950400.000000,0.000000000,0.800000026,0.007131045,0.005942104,0.007400366
976800.000000,0.000000000,0.800000026,0.007185785,0.005956158,0.007441601
